speaker	direction	readout	query_system	query_text_index	query_prompt_mic	query_seed_arm	query_clone_sha256	candidate_system	candidate_text_index	candidate_prompt_mic	own_seed_arm	own_clone_sha256	other_seed_arm	other_clone_sha256	cos_own_event	cos_other_event
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.4062091737364476	0.35929742772819478
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	seedvc	1	mic2	A	6584961eaf78dbf5	B	d96a57c7a65f385e	0.80616796673635438	0.8154326516534941
p229	primary_mic1_to_mic2	ecapa	xtts	2	mic1	A	93bce159648d4648	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.4688295084192789	0.43260813009931481
p229	primary_mic1_to_mic2	wavlm	xtts	2	mic1	A	93bce159648d4648	seedvc	3	mic2	A	d3c51799ff137c31	B	60c7701aaa1f6914	0.86278658503327632	0.81141324478715138
p229	primary_mic1_to_mic2	ecapa	xtts	3	mic1	A	0c9b56bc850a11b4	f5	0	mic2	A	1e836885166c83c7	B	df8ff7bb798e2f7a	0.48663349444581061	0.52826248824324207
p229	primary_mic1_to_mic2	wavlm	xtts	3	mic1	A	0c9b56bc850a11b4	f5	0	mic2	A	1e836885166c83c7	B	df8ff7bb798e2f7a	0.96535064628915668	0.92843350355985299
p229	primary_mic1_to_mic2	ecapa	xtts	3	mic1	A	0c9b56bc850a11b4	f5	1	mic2	A	3060b6285aee42af	B	7f90412faf61f822	0.51989074942476321	0.52583554853082426
p229	primary_mic1_to_mic2	wavlm	xtts	3	mic1	A	0c9b56bc850a11b4	f5	1	mic2	A	3060b6285aee42af	B	7f90412faf61f822	0.94751647478687684	0.89961326582906453
p229	primary_mic1_to_mic2	ecapa	xtts	3	mic1	A	0c9b56bc850a11b4	f5	2	mic2	A	2844d0f70f8faba7	B	e544f3cae79ecdc8	0.50122131973854867	0.37355478029018907
p229	primary_mic1_to_mic2	wavlm	xtts	3	mic1	A	0c9b56bc850a11b4	f5	2	mic2	A	2844d0f70f8faba7	B	e544f3cae79ecdc8	0.96558114812997808	0.7323900981371958
p229	primary_mic1_to_mic2	ecapa	xtts	3	mic1	A	0c9b56bc850a11b4	cosy	0	mic2	A	6391a59b919030ef	B	af11134d69bf78ff	0.55154730254300377	0.51605406796981623
